ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
COCO,2023-09-14,2023-09-22,68.0,28.780000686645508,25.030000686645508,-279.8000000000002,12.4,0.0,6,stop,-0.14207083910474222
HLNE,2023-08-17,2023-09-28,24.0,86.10054779052734,86.14736521717525,-24.016381760450713,12.57,0.0,29,sma,-0.011551984822687255
XPO,2023-09-06,2023-09-28,28.0,72.68000030517578,70.0,-99.93000854492198,12.4,0.0,16,egg,-0.04880514968175596
ETN,2023-09-12,2023-10-04,9.0,219.53480529785156,201.18409244333782,-189.956415690624,12.4,0.0,16,stop,-0.09554126847923193
LLY,2023-09-19,2023-10-04,3.0,563.2357788085938,514.8430881375008,-169.97807201327896,12.4,0.0,11,stop,-0.09986330966072461
SKYW,2023-09-13,2023-10-05,47.0,42.369998931884766,41.4900016784668,-66.15987091064471,12.4,0.0,16,egg,-0.033017368371018596
GPI,2023-09-28,2023-10-06,7.0,268.1145935058594,240.83540268413068,-215.75433575210104,12.4,0.0,6,stop,-0.11420394330670179
AMR,2023-10-06,2023-10-13,7.0,244.68467712402344,224.01230136569154,-169.50663030832357,12.4,0.0,5,stop,-0.09825373501240037
AKAM,2023-09-28,2023-10-20,17.0,107.04000091552734,107.06999969482422,-24.290020751953307,12.4,0.0,16,egg,-0.01325816588009458
POWL,2023-10-04,2023-10-20,66.0,27.360055923461914,24.637845050198962,-204.46591763535503,12.4,0.0,12,stop,-0.11245737589704628
DUOL,2023-10-16,2023-10-20,10.0,167.1999969482422,151.6300048828125,-180.49992065429706,12.4,0.0,4,stop,-0.10715977435558884
ARES,2023-09-22,2023-10-23,19.0,96.24273681640625,93.19603863379214,-82.68726546966832,12.4,0.0,21,sma,-0.044914028529742876
AJG,2023-09-22,2023-10-23,8.0,227.05599975585938,221.82478401968606,-66.64972588938667,12.4,0.0,21,sma,-0.03644355679671875
OII,2023-09-22,2023-10-26,77.0,24.219999313354492,23.059999465942383,-114.1199882507326,12.4,0.0,24,sma,-0.060788131859282134
WSM,2023-10-20,2023-10-27,24.0,75.34649658203125,69.51555686821814,-164.7425531315148,12.4,0.0,5,stop,-0.09048229408314667
CNR,2023-10-04,2023-11-01,18.0,96.50637817382812,92.72278776215738,-92.90462741007354,12.4,0.0,20,sma,-0.05310308151237512
