date,AllPass (v5r),Rocket k=0.50
2007-11-06,100170.11508538711,100170.11508538711
2007-11-07,98530.65755059707,98530.65755059707
2007-11-08,98131.01735655867,98131.01735655867
2007-11-09,96284.73567823874,96284.73567823874
2007-11-12,93324.2865462731,93324.2865462731
2007-11-13,95190.35193982779,95190.35193982779
2007-11-14,95140.3519989556,95140.3519989556
2007-11-15,94395.59017911612,94395.59017911612
2007-11-16,95060.5005070275,95060.5005070275
2007-11-19,93973.41641529929,93973.41641529929
2007-11-20,94389.19065293204,94389.19065293204
2007-11-21,93968.24987801444,93968.24987801444
2007-11-23,94715.1634369744,94715.1634369744
2007-11-26,94790.82945450675,94790.82945450675
2007-11-27,95118.19011505973,95118.19011505973
2007-11-28,96385.64318093192,96385.64318093192
2007-11-29,96097.78156861197,96097.78156861197
2007-11-30,95903.05865105521,95903.05865105521
2007-12-03,96355.03074402701,96355.03074402701
2007-12-04,96027.89867920768,96027.89867920768
2007-12-05,96800.48706955802,96800.48706955802
2007-12-06,97167.46307822502,97167.46307822502
2007-12-07,98363.86505957878,98363.86505957878
2007-12-10,99912.66132613456,99912.66132613456
2007-12-11,97222.83463736808,97222.83463736808
2007-12-12,97787.26916762626,97787.26916762626
2007-12-13,98297.85290595329,98297.85290595329
2007-12-14,97173.07625838554,97173.07625838554
2007-12-17,96222.94359985435,96222.94359985435
2007-12-18,97384.84019104087,97384.84019104087
2007-12-19,97649.87592140281,97649.87592140281
2007-12-20,99668.1999513253,99668.1999513253
2007-12-21,101359.52867332542,101359.52867332542
2007-12-24,102542.17786995017,102542.17786995017
2007-12-26,103455.01987643134,103455.01987643134
2007-12-27,101790.76932902228,101790.76932902228
2007-12-28,101543.56058497321,101543.56058497321
2007-12-31,101108.44567738044,101108.44567738044
2008-01-02,100098.60712490547,100098.60712490547
2008-01-03,100338.43487847602,100338.43487847602
2008-01-04,98640.10332754599,98640.10332754599
2008-01-07,97603.59635427939,97603.59635427939
2008-01-08,96545.2463490151,96545.2463490151
2008-01-09,96882.31612646567,96882.31612646567
2008-01-10,97148.3487859963,97148.3487859963
2008-01-11,96869.23869001852,96869.23869001852
2008-01-14,98491.86101994406,98491.86101994406
2008-01-15,97297.36118588339,97297.36118588339
2008-01-16,95560.47276387106,95560.47276387106
2008-01-17,93273.52068219076,93273.52068219076
2008-01-18,93306.953135064,93306.953135064
2008-01-22,92415.54133232962,92415.54133232962
2008-01-23,92415.54133232962,92415.54133232962
2008-01-24,92415.54133232962,92415.54133232962
2008-01-25,92415.54133232962,92415.54133232962
2008-01-28,92415.54133232962,92415.54133232962
2008-01-29,92415.54133232962,92415.54133232962
2008-01-30,92415.54133232962,92415.54133232962
2008-01-31,92415.54133232962,92415.54133232962
2008-02-01,92415.54133232962,92415.54133232962
2008-02-04,92415.54133232962,92415.54133232962
2008-02-05,92415.54133232962,92415.54133232962
2008-02-06,92415.54133232962,92415.54133232962
2008-02-07,92415.54133232962,92415.54133232962
2008-02-08,92415.54133232962,92415.54133232962
2008-02-11,92415.54133232962,92415.54133232962
2008-02-12,92415.54133232962,92415.54133232962
2008-02-13,92415.54133232962,92415.54133232962
2008-02-14,92415.54133232962,92415.54133232962
2008-02-15,92415.54133232962,92415.54133232962
2008-02-19,92415.54133232962,92415.54133232962
2008-02-20,92415.54133232962,92415.54133232962
2008-02-21,92415.54133232962,92415.54133232962
2008-02-22,92415.54133232962,92415.54133232962
2008-02-25,92415.54133232962,92415.54133232962
2008-02-26,92415.54133232962,92415.54133232962
2008-02-27,92415.54133232962,92415.54133232962
2008-02-28,92415.54133232962,92415.54133232962
2008-02-29,92415.54133232962,92415.54133232962
2008-03-03,92415.54133232962,92415.54133232962
2008-03-04,92415.54133232962,92415.54133232962
2008-03-05,92415.54133232962,92415.54133232962
2008-03-06,92415.54133232962,92415.54133232962
2008-03-07,92415.54133232962,92415.54133232962
2008-03-10,92415.54133232962,92415.54133232962
2008-03-11,92415.54133232962,92415.54133232962
2008-03-12,92415.54133232962,92415.54133232962
2008-03-13,92415.54133232962,92415.54133232962
2008-03-14,92415.54133232962,92415.54133232962
2008-03-17,92415.54133232962,92415.54133232962
2008-03-18,92415.54133232962,92415.54133232962
2008-03-19,92415.54133232962,92415.54133232962
2008-03-20,92415.54133232962,92415.54133232962
2008-03-24,92415.54133232962,92415.54133232962
2008-03-25,92415.54133232962,92415.54133232962
2008-03-26,92415.54133232962,92415.54133232962
2008-03-27,92415.54133232962,92415.54133232962
2008-03-28,92415.54133232962,92415.54133232962
2008-03-31,92415.54133232962,92415.54133232962
2008-04-01,92415.54133232962,92415.54133232962
2008-04-02,92415.54133232962,92415.54133232962
2008-04-03,92415.54133232962,92415.54133232962
2008-04-04,92415.54133232962,92415.54133232962
2008-04-07,92415.54133232962,92415.54133232962
2008-04-08,92415.54133232962,92415.54133232962
2008-04-09,92415.54133232962,92415.54133232962
2008-04-10,92415.54133232962,92415.54133232962
2008-04-11,92415.54133232962,92415.54133232962
2008-04-14,92415.54133232962,92415.54133232962
2008-04-15,92415.54133232962,92415.54133232962
2008-04-16,92415.54133232962,92415.54133232962
2008-04-17,92415.54133232962,92415.54133232962
2008-04-18,92415.54133232962,92415.54133232962
2008-04-21,92415.54133232962,92415.54133232962
2008-04-22,92415.54133232962,92415.54133232962
2008-04-23,92415.54133232962,92415.54133232962
2008-04-24,92415.54133232962,92415.54133232962
2008-04-25,92415.54133232962,92415.54133232962
2008-04-28,92415.54133232962,92415.54133232962
2008-04-29,92415.54133232962,92415.54133232962
2008-04-30,92415.54133232962,92415.54133232962
2008-05-01,92415.54133232962,92415.54133232962
2008-05-02,92415.54133232962,92415.54133232962
2008-05-05,92415.54133232962,92415.54133232962
2008-05-06,92415.54133232962,92415.54133232962
2008-05-07,92415.54133232962,92415.54133232962
2008-05-08,92415.54133232962,92415.54133232962
2008-05-09,92415.54133232962,92415.54133232962
2008-05-12,92415.54133232962,92415.54133232962
2008-05-13,92415.54133232962,92415.54133232962
2008-05-14,92415.54133232962,92415.54133232962
2008-05-15,92415.54133232962,92415.54133232962
2008-05-16,92415.54133232962,92415.54133232962
2008-05-19,92415.54133232962,92415.54133232962
2008-05-20,92231.36962955174,92231.36962955174
2008-05-21,90410.77475516972,90410.77475516972
2008-05-22,91222.88503520665,91222.88503520665
2008-05-23,90159.58375423131,90159.58375423131
2008-05-27,91419.74504874884,91419.74504874884
2008-05-28,92563.97002795873,92563.97002795873
2008-05-29,94017.2126283997,94017.2126283997
2008-05-30,93933.14178279576,93933.14178279576
2008-06-02,93358.04566577611,93358.04566577611
2008-06-03,92905.31498435674,92905.31498435674
2008-06-04,93654.24457957922,93654.24457957922
2008-06-05,95321.70530345617,95321.70530345617
2008-06-06,92387.36616923986,92387.36616923986
2008-06-09,91942.79935767828,91942.79935767828
2008-06-10,91697.97233321844,91697.97233321844
2008-06-11,89727.26411750494,89727.26411750494
2008-06-12,90647.53249989591,90647.53249989591
2008-06-13,91314.72352467618,91314.72352467618
2008-06-16,91624.00555287443,91624.00555287443
2008-06-17,90959.73198308072,90959.73198308072
2008-06-18,90935.82871617399,90935.82871617399
2008-06-19,91364.37044133268,91364.37044133268
2008-06-20,90522.46231450162,90522.46231450162
2008-06-23,90493.44605671964,90493.44605671964
2008-06-24,90278.71586262784,90278.71586262784
2008-06-25,90714.60016285977,90714.60016285977
2008-06-26,90088.94788777432,90088.94788777432
2008-06-27,90608.43291353116,90608.43291353116
2008-06-30,89909.07340120205,89909.07340120205
2008-07-01,90019.5229709042,90019.5229709042
2008-07-02,89886.04314302334,89886.04314302334
2008-07-03,89991.79314302334,89991.79314302334
2008-07-07,89885.10294221768,89885.10294221768
2008-07-08,89970.17282747159,89970.17282747159
