ticker,period,ret,lower_low,lower_high,rim_gap,run_into_base,days_to_earn,exit_reason,sma_dip,sma_vol
WYNN,dev,-0.04856884463671,True,True,-0.02275666298402068,0.6629521055342076,1.0,sma,-0.0005346118186366766,4.396751186093467
MAR,dev,-0.0528681243957324,True,True,-0.03752514973629095,0.8248617153264897,92.0,sma,-0.0190993674799943,1.144167303435919
RGEN,dev,-0.0370525478506573,True,True,-0.05756507722910964,0.7398312003744434,93.0,sma,-0.0009435583981413087,0.2964909297363123
NFLX,dev,-0.0248969142264084,False,True,-0.0015866662335757287,1.0721096927172518,11.0,sma,-0.025110308343762933,1.9767329869048242
CALY,dev,-0.0619073205364303,False,True,-0.004039392922376761,0.5034819489782449,54.0,sma,-0.022469753846458995,3.234634980961599
UFPI,dev,-0.0537799717620941,False,True,-0.01659839708556332,0.4966185010613722,28.0,sma,-0.01710620068423807,1.113535693313711
ALGN,dev,-0.0687785040784969,True,True,-0.08647770939500865,1.936541466198638,22.0,sma,-0.021835213784771712,1.5032039430189579
ALG,dev,-0.0291785201344957,True,True,-0.03646079027258686,0.6683383775817227,48.0,sma,-0.0022594584561456132,0.48243787310842706
PRI,dev,-0.0157154707780987,True,True,-0.041691245634288054,0.4966115752147118,53.0,sma,-0.0011326139153705617,1.2574512019324424
BKNG,dev,-0.0456231831046867,False,True,-0.011554532904632264,0.3405016143634376,92.0,sma,-0.01845257630748809,2.7277798348665323
EPAM,dev,-0.0356379981672964,False,False,-0.045796646523803,0.7337590219124808,85.0,sma,-0.011817031073746875,1.6573041558368966
SPXC,dev,-0.0386240231014617,False,True,-0.022781473121895712,0.5995762453309359,2.0,sma,-0.008311148541406244,0.6106499470151889
BJRI,dev,0.2210175917160179,True,True,-0.04061571727330615,1.0211626141566925,57.0,sma,-0.0018797997956132573,0.8517901611227469
MOS,dev,-0.0217389449576437,False,True,-0.014660153733385028,0.6650670289992029,49.0,sma,-0.0061524591346557855,1.2139599809904649
ACAD,test,-0.090770829906341,True,True,-0.0058436761255046266,1.1013046601592849,26.0,stop,,
VZ,test,-0.0207869465359863,False,True,-0.03204636401965277,0.3569572657197646,39.0,sma,-0.0015344260183122183,0.9886452038027311
PCTY,test,-0.0017852344949594,True,True,-0.009388098801922151,0.8097142339526517,16.0,sma,-0.03828041616440092,3.302117289028818
MTCH,test,0.1068962191169233,True,True,-0.03680041873813078,0.808161254728164,477.0,sma,-0.007840792083894543,1.3858742311705579
TER,test,-0.0588751875961545,False,True,-0.03981430682855558,0.7117477296429897,25.0,sma,-0.0101997980815417,1.131357535244515
CCK,test,-0.072294369974649,False,True,-0.016339921228207266,0.5442852753494876,19.0,sma,-0.004105600308411672,1.8958144915679438
MSCI,test,-0.0103628412499596,False,True,-0.012911352203184734,0.705446515617592,57.0,sma,-0.004043082552439792,2.7877409152699557
CMCSA,test,-0.0312059816927966,False,True,-0.021734285143211185,0.38504492977032756,50.0,sma,-0.004618102044165906,1.0555106626544164
NXPI,test,-0.0625331703987854,True,True,-0.0076760652822759345,0.6497779088787496,17.0,sma,-0.023722518188105557,2.302744708075432
AXTA,test,-0.0282848859914224,True,True,-0.04727387398803218,0.4568410717127158,55.0,sma,-0.008113284841868573,1.4088559460357637
EFX,test,-0.086316399309117,True,True,-0.03276677826593111,0.7197411866494525,90.0,stop,,
KHC,test,-0.0133724327060789,True,True,-0.014424760302250261,0.715534997440179,14.0,sma,-0.006692543342216473,1.5054867008271398
EPAM,test,-0.0467323369585467,False,True,-0.008349549618579921,1.1091611811386772,30.0,sma,-0.002199090668050907,0.5644904348307914
WST,test,-0.0477606738897873,False,True,-0.012638152634292354,1.2368457530986845,17.0,sma,-0.015208970107761899,0.6565290351985746
FND,test,0.0605083341893952,False,False,-0.00281522420844027,2.1527365796443587,79.0,sma,-0.008932258222227096,1.6458035767518904
EYE,test,-0.0325895540755477,False,False,-0.03956908699603934,2.5233577467000607,76.0,sma,-0.023445983321557784,2.4271719265616625
ROCK,test,0.2785357275819256,False,True,-0.06292747701971002,1.3243242194213813,77.0,sma,-0.011385780691416492,1.7527052918476942
CAKE,test,-0.0958707220677087,False,True,-0.007522254385385119,3.137746750315201,89.0,stop,,
GVA,test,-0.0882292434661288,False,True,-0.003956084280515082,2.7286219500771205,2.0,sma,-0.009515007629771643,0.9791090198493748
FIX,test,-0.0604318996819267,True,True,-0.04306733388358386,1.9562619670879418,57.0,sma,-0.013901677533551426,0.9078492374066406
GS,test,-0.0733591065078725,False,True,-0.030451297170153824,1.1301536549221565,1.0,sma,-0.013507688054854472,0.9154353606885486
EPR,test,-0.065629563791547,True,True,-0.023623794614154536,1.5535965225751562,32.0,sma,-0.03311335128472159,1.737243717754262
HIW,test,-0.0301752367410013,False,False,-0.027354960440152842,0.6977989870883472,90.0,sma,-0.0016562176522941785,0.9196266643075154
OUT,test,-0.0670405782417379,False,True,-0.03595707499311562,0.9092296260727737,90.0,sma,-0.006036301900792629,0.4194889467702082
J,test,-0.05423486840413,False,True,-0.04649551534283247,0.8389658159921287,103.0,sma,-6.962255669329398e-05,0.7777732823466107
ABR,test,-0.0513195024505145,True,True,-0.059186610526578476,1.8203614774738877,80.0,sma,-0.023527783227432986,1.0355943668151544
ECPG,test,-0.0400191045421458,False,True,-0.01785354132217143,0.6595959477897684,64.0,sma,-0.00212217772259915,1.393706407543295
MYRG,test,-0.0352459669433623,False,True,-0.059750409908831514,2.2083575978689423,6.0,sma,-0.015797331239127632,1.2933609462742444
HIG,test,0.0440312070540795,False,False,-0.015768656493774236,1.2332756934196074,57.0,sma,-0.0032390225506172543,0.9782010709668966
NOG,test,-0.1666615711443047,True,True,-0.05155030097385371,6.902976987179011,111.0,stop,,
WD,test,-0.0636885653497735,True,True,-0.01762434595865514,0.9919252813094717,30.0,sma,-0.019667661406965187,0.8703265913667805
CHRD,test,-0.0678365484107339,False,False,-0.05871654001457127,3.102222635693736,58.0,sma,-0.005619123401403581,1.3465746507322
CNC,test,-0.0181630613173585,True,True,-0.049220940850580264,0.46144556558067884,5.0,sma,-0.0018077485450481712,0.6809000402831329
IEX,test,-0.0454229765260038,False,True,-0.010492546323655594,0.4075029089394222,85.0,sma,-0.022071337313854023,2.4345677949225792
RLI,test,-0.0507192917578118,True,True,-0.03487548825287812,0.5128286124142283,50.0,sma,-0.007610052138671053,0.7285305500433061
