ticker,start,year,n_evals,len_d,runup126,peak_lag,peak_after_flag_end,tc_err,post_peak_dd,crash
SMTC,2017-07-24,2017,2,5,0.2367602071677808,70,True,36.57894736842081,-0.21802681922730127,False
SMTC,2026-02-19,2026,2,5,0.7503089716113913,84,True,20.506578947368325,-0.4073713410190545,True
SMTC,2026-06-08,2026,2,5,1.028487426703037,9,True,81.19736842105249,-0.4073713410190545,True
SNA,2013-05-15,2013,1,0,0.21595469683574242,120,True,-13.75,-0.06993772503831475,False
SNA,2013-09-23,2013,1,0,0.23351662867408396,114,True,-70.31578947368416,-0.042214250453576296,False
SNA,2015-04-06,2015,3,15,0.2751835783944554,94,True,-43.73684210526335,-0.19798474416872813,False
SNA,2021-04-12,2021,6,30,0.5123512436530175,35,True,47.20394736842172,-0.20527271255290136,False
SNEX,2006-05-03,2006,5,25,0.40858833050331556,142,True,-94.23684210526318,-0.5814815448705438,True
SNEX,2006-07-14,2006,14,80,0.5197802103790472,111,True,-44.61842105263156,-0.6699353466185782,True
SNEX,2006-12-19,2006,1,0,2.1746782629615793,1,True,35.57894736842104,-0.6699353466185782,True
SNEX,2024-11-27,2024,10,75,0.3881412298479441,190,True,-110.69078947368416,-0.1994070327479045,False
SNEX,2025-05-02,2025,1,0,0.5475211094255374,85,True,18.421052631579187,-0.1994070327479045,False
SNEX,2025-06-09,2025,4,20,0.22326589608818592,60,True,44.53947368420995,-0.1994070327479045,False
SNEX,2025-08-27,2025,3,15,0.23621069936936845,125,True,55.0,-0.20914781058997067,False
SNEX,2026-06-30,2026,1,0,0.7741291620366726,1,True,135.5789473684208,-0.21545172533513324,False
SNPS,2017-11-14,2017,2,5,0.1956403312238162,46,True,-1.9210526315791867,-0.13503963355374804,False
SNPS,2021-01-06,2021,2,10,0.23932897678790366,26,True,30.546052631579187,-0.2519771021517144,False
SNPS,2023-12-14,2023,3,25,0.23541012666466665,138,True,-77.21052631578914,-0.31018832288295783,True
SNPS,2024-07-16,2024,1,0,0.23990699298830243,0,False,212.5,-0.3008597253801343,True
SNX,2012-04-02,2012,1,0,0.47977098743702706,0,False,75.0,-0.20247636025595872,False
SNX,2021-03-26,2021,11,50,0.874483554947328,108,True,-41.68421052631584,-0.25822472311265665,False
SO,2019-09-30,2019,2,15,0.2286753112938964,84,True,-26.828947368420813,-0.3843487562254797,True
SO,2020-01-24,2020,3,15,0.2807035050200244,4,False,168.10526315789457,-0.3843487562254797,True
SON,2006-04-04,2006,1,0,0.2681293689485875,111,True,-57.51315789473688,-0.029737342196463068,False
SON,2006-12-27,2006,1,0,0.2728457854851458,107,True,-102.0,-0.36203135649859475,True
SONO,2021-04-01,2021,1,0,1.5665348024524635,9,True,81.7236842105267,-0.3426748511581418,True
SPG,2006-12-05,2006,1,0,0.27913006968539533,42,True,3.263157894736878,-0.3039426051869103,True
SPG,2007-02-05,2007,3,10,0.42620895833472017,2,False,42.21052631578948,-0.3039426051869103,True
SPG,2007-03-27,2007,1,0,0.22534203771484518,22,True,164.71052631578948,-0.3220786744252504,True
SPG,2012-04-17,2012,5,20,0.3105906554215023,106,True,23.473684210526244,-0.09618428308360905,False
SPG,2021-08-11,2021,1,0,0.284826625763156,61,True,64.0,-0.4270813326285078,True
SPG,2024-12-05,2024,1,0,0.21343530377137787,57,True,-20.421052631579187,-0.2431875688673364,False
SPGI,2014-02-07,2014,1,0,0.28119323197289736,85,True,2.5,-0.09433803322622636,False
SPGI,2015-03-20,2015,3,10,0.2626434078620439,0,False,141.4473684210525,-0.2084119914095688,False
SPGI,2018-03-20,2018,2,5,0.2734797415852379,88,True,49.76315789473665,-0.2557807209895564,False
SPGI,2018-05-09,2018,1,0,0.2508354620810498,53,True,61.21052631578959,-0.2557807209895564,False
SPGI,2018-06-21,2018,1,0,0.2077987896544602,23,True,118.05263157894751,-0.2557807209895564,False
SPGI,2019-09-09,2019,2,5,0.32851527579213924,112,True,-55.38815789473665,-0.38136865641348117,True
SPHR,2026-04-29,2026,2,5,1.041886990099616,73,True,35.75,-0.114242026292386,False
SPHR,2026-06-26,2026,1,0,0.8084541036509156,33,True,108.05263157894751,-0.114242026292386,False
SPHR,2026-08-17,2026,1,0,0.48314615928883753,0,False,125.0,-0.08956882184902015,False
SPNT,2023-12-20,2023,2,5,0.2955832026306291,105,True,47.5,-0.10855019024916568,False
SPNT,2024-08-05,2024,3,20,0.20630862495605617,103,True,84.23684210526335,-0.15131175317813872,False
SPNT,2025-06-13,2025,3,15,0.2532299865770953,134,True,-21.76315789473665,-0.14739630075369736,False
SPSC,2012-01-26,2012,1,0,0.31121889242101575,117,True,-46.473684210526244,-0.1250379588417908,False
SPSC,2012-07-03,2012,3,10,0.2623999786376954,65,True,141.0526315789475,-0.1856435573448122,False
SPSC,2012-08-29,2012,1,0,0.34297029098661813,25,True,131.4473684210525,-0.1856435573448122,False
SPSC,2012-10-18,2012,3,15,0.5524000549316406,134,True,2.25,-0.03890400662884419,False
SPSC,2013-07-03,2013,6,25,0.4216684119973977,76,True,-24.71710526315792,-0.3829678732859152,True
SPSC,2013-09-20,2013,2,20,0.7759959289504745,21,True,59.55921052631584,-0.3829678732859152,True
SPSC,2018-09-07,2018,1,0,0.5056426129672085,114,True,-86.23684210526335,-0.1704349142938335,False
SPSC,2023-07-17,2023,1,0,0.5044652426789631,114,True,-96.17105263157919,-0.1803943309292625,False
SPXC,2007-04-03,2007,1,0,0.3248027351897784,81,True,33.27631578947364,-0.1572333778756907,False
SPXC,2007-07-13,2007,3,10,0.4800999594081856,81,True,-32.31578947368416,-0.16038632100884898,False
SPXC,2007-10-29,2007,4,25,0.34904512148542954,145,True,-34.67105263157896,-0.7966452650559969,True
SPXC,2008-06-25,2008,1,0,0.24969239466729798,24,True,92.0526315789474,-0.8023838778985254,True
SPXC,2020-01-09,2020,2,5,0.5393867512552315,5,False,67.07236842105249,-0.5026276162322818,True
SPXC,2024-02-28,2024,5,30,0.4683992236053689,95,True,42.5,-0.21642839064949615,False
SPXC,2024-05-23,2024,5,45,0.6548199564761199,128,True,-61.28947368421086,-0.33542627624694965,True
SPXC,2024-11-13,2024,2,15,0.18324974815617123,8,False,168.84210526315837,-0.33542627624694965,True
SR,2008-06-18,2008,2,10,0.23604008018086486,96,True,-49.289473684210634,-0.45002696112087837,True
SR,2015-01-29,2015,1,0,0.1729404924968161,116,True,-69.94736842105249,-0.07301976582170588,False
SRE,2007-05-02,2007,1,0,0.2034602338599545,15,True,-10.0,-0.18651556660811763,False
