ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
TTD,2018-07-17,2018-07-31,9.489999771118164,8.600000381469727,10,-0.09378286734600971,1.0,28242.239318847656,0.1,0.0,stop
TNC,2018-07-30,2018-08-21,79.9000015258789,76.4000015258789,16,-0.043804755108376114,1.0,27805.20053100586,0.1,0.0,egg
KFY,2018-05-02,2018-09-06,53.83000183105469,63.689998626708984,88,0.18316917072750383,0.5,24761.800842285156,0.1,23.0,sma
BLFS,2018-08-21,2018-09-06,24.139999389648438,20.520000457763672,11,-0.14995853452411734,1.0,28388.639282226562,0.1,0.0,stop
CSGP,2018-06-28,2018-09-18,41.534000396728516,42.130001068115234,56,0.01434970543876779,1.0,27827.780265808105,0.1,0.0,sma
FBP,2018-07-31,2018-09-18,8.220000267028809,8.350000381469727,34,0.01581509856664609,1.0,27430.140891075134,0.1,0.0,sma
NEOG,2018-05-03,2018-09-26,34.90999984741211,37.005001068115234,101,0.060011493264398474,0.5,24646.45989227295,0.1,0.0,sma
TKO,2018-07-31,2018-09-27,79.11000061035156,95.18000030517578,41,0.20313487006497954,0.5,27372.06021118164,0.1,20.759999999999998,strength
STAA,2018-09-18,2018-10-03,50.0,45.040000915527344,11,-0.0991999816894531,1.0,29050.0,0.1,0.0,stop
BJRI,2018-07-31,2018-10-04,63.25,67.19999694824219,46,0.062450544636240224,1.0,27387.25,0.1,47.63,sma
ETSY,2018-03-29,2018-10-05,28.059999465942383,46.0,132,0.6393442934962332,0.5005586592178771,25113.699522018433,0.1,0.0,sma
MSA,2018-07-30,2018-10-08,99.62000274658203,101.81999969482422,49,0.022083887648935763,1.0,27793.980766296387,0.1,106.02,sma
ALRM,2018-09-06,2018-10-08,55.150001525878906,51.310001373291016,22,-0.06962828733170545,1.0,28898.600799560547,0.1,0.0,sma
PRKS,2018-09-27,2018-10-09,31.43000030517578,28.639999389648438,8,-0.08876872059934071,1.0,29135.61028289795,0.1,0.0,stop
XYZ,2018-10-05,2018-10-09,94.11000061035156,83.69000244140625,2,-0.11072147594693749,1.0,28138.890182495117,0.1,0.0,stop
TKO,2018-07-31,2018-10-11,79.11000061035156,82.33000183105469,51,0.04070283397623675,0.5,27372.06021118164,0.1,20.759999999999998,sma
TPL,2018-09-18,2018-10-11,92.4655532836914,88.57333374023438,17,-0.04209372469243122,1.0,29034.1837310791,0.1,0.0,sma
SM,2018-09-06,2018-10-12,29.209999084472656,29.579999923706055,26,0.01266692402705627,1.0,28917.89909362793,0.1,0.0,sma
RAMP,2018-10-03,2018-10-12,48.65999984741211,44.93000030517578,7,-0.07665432704342068,1.0,28417.439910888672,0.1,0.0,stop
EMR,2018-10-08,2018-10-12,77.9000015258789,72.73999786376953,4,-0.0662388133637608,1.0,27888.20054626465,0.1,0.0,stop
TJX,2018-06-26,2018-10-22,47.584999084472656,54.34000015258789,82,0.14195652407439985,1.0,28170.319458007812,0.1,115.44,sma
MOS,2018-10-11,2018-10-25,32.689998626708984,29.760000228881836,10,-0.0896298109793503,1.0,26282.758895874023,0.1,0.0,stop
ADP,2018-10-08,2018-10-29,149.3000030517578,138.8000030517578,15,-0.07032819682100055,1.0,27919.10057067871,0.1,0.0,stop
AAP,2018-10-09,2018-10-31,168.88999938964844,166.08999633789062,16,-0.016578856426530564,1.0,27360.179901123047,0.1,0.0,egg
NEO,2018-10-04,2018-10-31,14.470000267028809,18.25,19,0.2612301080314601,0.4997473471450227,28636.130528450012,0.1,0.0,strength
PGR,2018-10-18,2018-11-15,71.80000305175781,64.51000213623047,20,-0.10153204186178466,1.0,26207.0011138916,0.1,0.0,stop
NEO,2018-10-04,2018-12-07,14.470000267028809,14.710000038146973,44,0.01658602395917197,0.5002526528549772,28636.130528450012,0.1,0.0,sma
CI,2018-12-04,2018-12-18,217.83999633789062,201.52000427246094,9,-0.07491733538278167,1.0,26140.799560546875,0.1,0.0,stop
SHEN,2018-12-04,2018-12-24,46.810001373291016,41.599998474121094,13,-0.11130106272850182,1.0,26307.22077178955,0.1,0.0,stop
NJR,2018-12-04,2018-12-26,48.43000030517578,44.27000045776367,14,-0.08589716748293152,1.0,26297.49016571045,0.1,159.099,stop
NNN,2019-02-14,2019-03-11,52.29999923706055,52.290000915527344,16,-0.00019117249864353258,1.0,25470.099628448486,0.1,0.0,egg
REGN,2019-02-14,2019-03-11,414.9700012207031,404.1499938964844,16,-0.026074191609971598,1.0,25313.17007446289,0.1,0.0,egg
TWLO,2019-02-19,2019-03-22,112.56999969482422,135.0,23,0.199253800888187,0.4977973568281938,25553.389930725098,0.1,0.0,strength
LLY,2019-02-13,2019-04-15,119.6500015258789,123.7699966430664,42,0.03443372390009025,1.0,25365.800323486328,0.1,136.74,sma
MPT,2019-02-20,2019-04-16,18.239999771118164,18.420000076293945,39,0.00986843790759262,1.0,25554.239679336548,0.1,350.25,sma
WELL,2019-02-19,2019-04-17,76.76000213623047,73.9000015258789,41,-0.037258995971310105,1.0,25561.080711364746,0.1,289.71,sma
WAT,2019-02-20,2019-04-17,234.0,241.4199981689453,40,0.031709393884381765,1.0,25506.0,0.1,0.0,sma
UDR,2019-02-20,2019-04-18,44.33000183105469,43.709999084472656,41,-0.013986075365954531,1.0,25534.0810546875,0.1,197.568,sma
VMRK,2019-02-20,2019-04-18,72.68000030517578,74.26000213623047,41,0.021739155536879773,1.0,25510.6801071167,0.1,199.368,sma
EW,2019-02-21,2019-04-18,57.97999954223633,59.336666107177734,40,0.023398871604907834,1.0,25569.17979812622,0.1,0.0,sma
ZBRA,2019-03-22,2019-05-01,207.24000549316406,212.25999450683594,27,0.02422306929458884,1.0,26733.960708618164,0.1,0.0,sma
ACIW,2019-04-17,2019-05-10,33.709999084472656,31.989999771118164,16,-0.051023416198986205,1.0,26765.73927307129,0.1,0.0,egg
ALRM,2019-04-18,2019-05-13,67.12999725341797,61.939998626708984,16,-0.07731265960158717,1.0,26382.08892059326,0.1,0.0,egg
KEYS,2019-04-18,2019-05-13,89.83999633789062,84.12000274658203,16,-0.06366867569535006,1.0,26323.118927001953,0.1,0.0,egg
OSW,2019-04-18,2019-05-13,13.770000457763672,13.619999885559082,16,-0.01089328737966877,1.0,26397.09087753296,0.1,0.0,egg
TWLO,2019-02-19,2019-05-14,112.56999969482422,126.0,59,0.1193035474956412,0.5022026431718062,25553.389930725098,0.1,0.0,sma
MTD,2019-04-16,2019-05-14,732.1699829101562,705.0599975585938,19,-0.03702690083497884,1.0,27090.28936767578,0.1,0.0,sma
TDG,2019-04-15,2019-05-16,458.1600036621094,452.739990234375,22,-0.011829957622690235,1.0,27031.440216064453,0.1,0.0,sma
SNPS,2019-04-17,2019-05-21,116.04000091552734,116.38999938964844,23,0.0030161881365020626,1.0,26689.20021057129,0.1,0.0,sma
