ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
DKS,2020-01-02,2020-01-27,48.220001220703125,45.290000915527344,16,-0.06451262200898866,1.0,17732.133928894043,0.1,0.0,egg
ROST,2019-10-21,2020-01-28,110.9800033569336,115.11000061035156,67,0.03307331214518561,1.0,17458.70824809265,0.1,40.035000000000004,sma
MTSI,2019-11-22,2020-01-29,24.219999313354492,30.530000686645508,44,0.2554965028274341,0.5,17230.591911506654,0.1,0.0,sma
BHE,2019-12-17,2020-01-31,34.56999969482422,32.16999816894531,30,-0.07313927378022156,1.0,17804.51780282593,0.1,77.1,sma
TTMI,2020-01-08,2020-01-31,14.979999542236328,14.680000305175781,16,-0.02393872120482421,1.0,17891.871773254396,0.1,0.0,egg
BLDR,2019-10-09,2020-02-03,20.799999237060547,24.950000762939453,79,0.19473081120182045,0.5006226650062267,16735.804186134337,0.1,0.0,sma
TER,2019-11-26,2020-02-03,63.66999816894531,66.37999725341797,45,0.03840127447450614,1.0,17480.4706572876,0.1,0.0,sma
GNRC,2019-08-06,2020-02-10,72.08000183105469,106.2699966430664,129,0.46844842439972,0.5021459227467812,16828.229707489012,0.1,0.0,sma
DAR,2020-01-24,2020-02-18,28.790000915527344,28.520000457763672,16,-0.013332849697591742,1.0,18577.84211077881,0.1,0.0,egg
NEE,2019-10-29,2020-02-19,58.150001525878906,68.75499725341797,76,0.17765304229651235,0.5,17479.890458679198,0.1,46.875,strength
ENOV,2020-01-29,2020-02-21,64.37177276611328,64.33734893798828,16,-0.0045246470605463385,1.0,18124.645083572388,0.1,0.0,egg
VICR,2020-01-27,2020-02-24,52.68000030517578,45.5099983215332,19,-0.13955350381663545,1.0,18316.520026107788,0.1,0.0,stop
UCTT,2020-01-28,2020-02-24,24.260000228881836,22.229999542236328,18,-0.08733483840885448,1.0,18012.613489940642,0.1,0.0,sma
CACI,2020-01-31,2020-02-25,267.44000244140625,266.989990234375,16,-0.0056679647678817835,1.0,17686.342241455077,0.1,0.0,egg
ACMR,2020-02-18,2020-02-25,13.94333267211914,12.983332633972168,5,-0.0725672787943813,1.0,18455.980744789125,0.1,0.0,stop
FBIN,2020-01-31,2020-02-26,58.726497650146484,57.70940017700195,17,-0.021242103140393875,1.0,17829.717045570374,0.1,0.0,sma
LRCX,2020-02-03,2020-02-26,30.8439998626709,29.624000549316406,16,-0.04338797829541341,1.0,17338.09089080429,0.1,0.0,egg
KBH,2020-02-03,2020-02-26,37.83000183105469,36.0,16,-0.0521732569487946,1.0,17322.887458465575,0.1,41.129999999999995,egg
AAPL,2020-02-19,2020-02-26,80.90499877929688,71.63249969482422,5,-0.118144210015521,1.0,18321.098783569338,0.1,0.0,stop
NEE,2019-10-29,2020-02-28,58.150001525878906,62.037498474121094,83,0.06259401836979994,0.5,17479.890458679198,0.1,99.375,sma
ROK,2020-02-21,2020-02-28,209.3699951171875,179.5800018310547,5,-0.14570798219636083,1.0,18251.619954345704,0.1,0.0,stop
GLPI,2020-02-24,2020-02-28,48.7599983215332,43.470001220703125,4,-0.11204943043285753,1.0,17637.564112861633,0.1,0.0,stop
CWST,2020-02-25,2020-03-02,53.06999969482422,48.29999923706055,4,-0.09351450639747216,1.0,17016.364702148436,0.1,0.0,stop
EQIX,2020-02-26,2020-03-02,629.8400268554688,577.8800048828125,3,-0.08615985943399873,1.0,16408.59237963867,0.1,0.0,stop
LW,2020-02-25,2020-03-04,93.7699966430664,86.55999755859375,6,-0.08057532523630329,1.0,17006.31413117981,0.1,0.0,stop
KNSL,2020-02-24,2020-03-10,126.37999725341797,118.0,11,-0.0700352534420563,1.0,17601.953257461548,0.1,12.51,stop
ES,2020-02-26,2020-03-13,93.45999908447266,85.88999938964844,12,-0.084665889379399,1.0,16669.151596710206,0.1,101.10399999999998,stop
SUI,2020-02-26,2020-03-13,165.52999877929688,148.5,12,-0.10646295705016617,1.0,16751.966936462402,0.1,0.0,stop
QDEL,2020-02-26,2020-03-17,80.94000244140625,77.45999908447266,14,-0.04681523098430973,1.0,16706.987783935547,0.1,0.0,stop
RGEN,2020-05-28,2020-06-09,129.2100067138672,117.30000305175781,8,-0.095799601456235,1.0,15277.274353820801,0.1,0.0,stop
AMZN,2020-05-28,2020-07-06,120.05500030517578,146.74850463867188,26,0.21746434461975084,0.49606299212598426,15277.479008834838,0.1,0.0,strength
RNG,2020-05-28,2020-07-14,259.510009765625,260.0,32,-0.002111417273716887,1.0,15341.71275732422,0.1,0.0,sma
FTNT,2020-05-28,2020-07-14,26.93400001525879,26.562000274658203,32,-0.017748409800620868,1.0,15329.109032684326,0.1,0.0,sma
UTHR,2020-05-28,2020-07-14,115.0,116.83000183105469,32,0.011857518245184107,1.0,15325.59,0.1,0.0,sma
CYTK,2020-07-14,2020-07-20,27.8799991607666,24.06999969482422,4,-0.14010356551847214,1.0,16090.997275634765,0.1,0.0,stop
WST,2020-05-28,2020-07-21,206.02999877929688,255.33999633789062,37,0.23438662574403724,0.5,15276.712349487305,0.1,0.0,strength
VRTX,2020-05-28,2020-07-27,277.3800048828125,280.8399963378906,41,0.008432019843010563,1.0,15286.412069091797,0.1,0.0,sma
ETSY,2020-07-14,2020-08-05,103.73999786376953,131.81500244140625,16,0.2655561745744115,0.5,16007.91159036255,0.1,0.0,strength
TWLO,2020-07-14,2020-08-05,223.82000732421875,277.0,16,0.232661078315463,0.49295774647887325,15923.00296105957,0.1,0.0,strength
REGN,2020-05-28,2020-08-11,578.2100219726562,601.1099853515625,52,0.035454803513920385,1.0,15063.52749243164,0.1,0.0,sma
CRWD,2020-07-20,2020-08-11,26.68000030517578,24.274999618530273,16,-0.09377461934519049,1.0,16815.283632339477,0.1,0.0,stop
MRNA,2020-07-13,2020-08-12,71.77999877929688,75.66999816894531,22,0.04998500431417496,1.0,16614.342077453613,0.1,0.0,breakeven
TSLA,2020-07-27,2020-08-12,102.63999938964844,98.0,12,-0.049018092210025066,1.0,16146.708863983155,0.1,0.0,stop
CLX,2020-05-28,2020-08-25,204.9600067138672,222.97999572753906,62,0.08357654541884707,1.0,15197.374577819824,0.1,82.14,sma
NOW,2020-05-28,2020-08-26,75.59600067138672,93.0,63,0.22531273734471857,0.5,15300.932919891358,0.1,0.0,strength
CHWY,2020-08-12,2020-09-03,53.150001525878906,68.38999938964844,16,0.2815989363022444,0.498371335504886,16349.684569381714,0.1,0.0,strength
ETSY,2020-07-14,2020-09-04,103.73999786376953,114.2300033569336,38,0.0967225535218128,0.5,16007.91159036255,0.1,0.0,sma
